State,fips,ratePer100k
"Franklin Parish, Louisiana(7)",22041,498.9
"Gallatin County, Illinois(6)",17059,498.6
"Grundy County, Tennessee(6)",47061,498.5
"Stephens County, Georgia(7)",13257,498.5
"Houston County, Tennessee(6)",47083,498.5
"Jackson County, Kentucky(7)",21109,498.5
"Butts County, Georgia(7)",13035,498.4
"Edmunds County, South Dakota(6)",46045,498.4
"Clay County, Iowa(7)",19041,498.4
"Craven County, North Carolina(6)",37049,498.4
"Hall County, Georgia(7)",13139,498.4
"Nance County, Nebraska(6)",31125,498.2
"Scott County, Kentucky(7)",21209,498
"Cheatham County, Tennessee(6)",47021,497.8
"Crawford County, Indiana(6)",18025,497.8
"St. Tammany Parish, Louisiana(7)",22103,497.8
"Orange County, New York(7)",36071,497.8
"Scioto County, Ohio(6)",39145,497.7
"Muskogee County, Oklahoma(6)",40101,497.7
"Polk County, Tennessee(6)",47139,497.7
"Columbia County, Florida(6)",12023,497.6
"Strafford County, New Hampshire(6)",33017,497.6
"Livingston County, New York(7)",36051,497.6
"Wyoming County, Pennsylvania(6)",42131,497.5
"Blaine County, Nebraska(6)",31009,497.4
"Surry County, Virginia(6)",51181,497.4
"Morrow County, Ohio(6)",39117,497.4
"Juneau County, Wisconsin(6)",55057,497.3
"Adams County, Nebraska(6)",31001,497.3
"Pawnee County, Nebraska(6)",31133,497.3
"Morgan County, Missouri(6)",29141,497.2
"Muhlenberg County, Kentucky(7)",21177,497.2
"Richland County, Illinois(6)",17159,497.1
"Calhoun County, Arkansas(6)",5013,497.1
"Northumberland County, Pennsylvania(6)",42097,497.1
"Deuel County, South Dakota(6)",46039,497
"Warren County, Illinois(6)",17187,496.9
"Carroll County, Georgia(7)",13045,496.8
"Union County, Illinois(6)",17181,496.8
"Montgomery County, Illinois(6)",17135,496.5
"Lee County, South Carolina(6)",45061,496.5
"Marion County, Iowa(7)",19125,496.4
"Colonial Heights City, Virginia(6)",51570,496.4
"Washington County, Mississippi(6)",28151,496.3
"Lycoming County, Pennsylvania(6)",42081,496.3
