State,fips,ratePer100k
"Hopkins County, Kentucky(7)",21107,85.1
"Owen County, Kentucky(7)",21187,85.1
"Jasper County, Missouri(6)",29097,85
"Jefferson County, Missouri(6)",29099,84.8
"Muskingum County, Ohio(6)",39119,84.8
"Franklin County, Missouri(6)",29071,84.7
"Nelson County, Kentucky(7)",21179,84.7
"Panola County, Mississippi(6)",28107,84.7
"Okeechobee County, Florida(6)",12093,84.7
"Pawnee County, Oklahoma(6)",40117,84.7
"Ouachita County, Arkansas(6)",5103,84.6
"Cheatham County, Tennessee(6)",47021,84.6
"Mayes County, Oklahoma(6)",40097,84.6
"Tippah County, Mississippi(6)",28139,84.5
"Pickaway County, Ohio(6)",39129,84.5
"Hopewell City, Virginia(6)",51670,84.5
"Shannon County, South Dakota(6)",46113,84.5
"Greene County, Tennessee(6)",47059,84.5
"Calhoun County, Florida(6)",12013,84.4
"Coryell County, Texas(6)",48099,84.4
"Cortland County, New York(7)",36023,84.4
"Ottawa County, Oklahoma(6)",40115,84.4
"Owen County, Indiana(6)",18119,84.3
"Maury County, Tennessee(6)",47119,84.3
"Dallas County, Missouri(6)",29059,84.3
"Baxter County, Arkansas(6)",5005,84.2
"Pontotoc County, Mississippi(6)",28115,84.2
"Morgan County, Indiana(6)",18109,84.2
"McIntosh County, Oklahoma(6)",40091,84.1
"Washington County, Mississippi(6)",28151,84.1
"Ogemaw County, Michigan(6)",26129,84.1
"Page County, Iowa(7)",19145,84
"Sequoyah County, Oklahoma(6)",40135,84
"Jefferson County, Kentucky(7)",21111,84
"Livingston County, Illinois(6)",17105,84
"McCurtain County, Oklahoma(6)",40089,84
"Simpson County, Mississippi(6)",28127,84
"Saline County, Illinois(6)",17165,83.9
"Crockett County, Tennessee(6)",47033,83.9
"Fannin County, Texas(6)",48147,83.9
"Washington County, Kentucky(7)",21229,83.9
"Iberville Parish, Louisiana(7)",22047,83.8
"Marshall County, Kentucky(7)",21157,83.8
"McDonald County, Missouri(6)",29119,83.7
"St. Louis City, Missouri(6)",29510,83.7
"Henderson County, Tennessee(6)",47077,83.7
"Gallia County, Ohio(6)",39053,83.7
"Kent County, Rhode Island(6)",44003,83.6
"Cayuga County, New York(7)",36011,83.5
"Wapello County, Iowa(7)",19179,83.5
"Clare County, Michigan(6)",26035,83.5
"Buchanan County, Missouri(6)",29021,83.5
"Love County, Oklahoma(6)",40085,83.4
"Woodford County, Kentucky(7)",21239,83.4
"Ohio County, Indiana(6)",18115,83.4
"Rockingham County, North Carolina(6)",37157,83.3
"Dearborn County, Indiana(6)",18029,83.3
"Lincoln County, Montana(6)",30053,83.3
"Tift County, Georgia(7)",13277,83.3
"Harnett County, North Carolina(6)",37085,83.3
"Madison County, Georgia(7)",13195,83.3
"Webster County, Kentucky(7)",21233,83.3
"Humphreys County, Tennessee(6)",47085,83.2
"Monroe County, Georgia(7)",13207,83.2
"Delta County, Texas(6)",48119,83.2
"Crawford County, Arkansas(6)",5033,83.1
"Johnson County, Tennessee(6)",47091,83.1
"Jefferson County, Mississippi(6)",28063,83.1
"Randolph County, Missouri(6)",29175,83.1
"Randolph County, North Carolina(6)",37151,82.9
"Clark County, Ohio(6)",39023,82.8
"Spencer County, Kentucky(7)",21215,82.8
"Dinwiddie County, Virginia(6)",51053,82.7
"King and Queen County, Virginia(6)",51097,82.7
"Craven County, North Carolina(6)",37049,82.6
"Dade County, Georgia(7)",13083,82.6
"Mercer County, West Virginia(6)",54055,82.5
"Peoria County, Illinois(6)",17143,82.5
"Westmoreland County, Virginia(6)",51193,82.5
"Gaston County, North Carolina(6)",37071,82.4
"Niagara County, New York(7)",36063,82.4
"Kiowa County, Oklahoma(6)",40075,82.4
"Waynesboro City, Virginia(6)",51820,82.4
"Northampton County, Virginia(6)",51131,82.4
"Carroll County, Georgia(7)",13045,82.3
"Calloway County, Kentucky(7)",21035,82.3
"Taylor County, Florida(6)",12123,82.3
"Lampasas County, Texas(6)",48281,82.3
"Swain County, North Carolina(6)",37173,82.3
"Vigo County, Indiana(6)",18167,82.2
"Rensselaer County, New York(7)",36083,82.2
"Adair County, Kentucky(7)",21001,82.2
"Cass County, Indiana(6)",18017,82.1
"Crenshaw County, Alabama(6)",1041,82.1
"Obion County, Tennessee(6)",47131,82.1
"Creek County, Oklahoma(6)",40037,82
"Pearl River County, Mississippi(6)",28109,82
"White County, Arkansas(6)",5145,82
"Hamilton County, Illinois(6)",17065,82
"Cabell County, West Virginia(6)",54011,82
"Screven County, Georgia(7)",13251,81.9
"Penobscot County, Maine(6)",23019,81.9
"Bryan County, Georgia(7)",13029,81.9
"Putnam County, Tennessee(6)",47141,81.8
"Stone County, Arkansas(6)",5137,81.8
"Missaukee County, Michigan(6)",26113,81.8
"Marion County, Illinois(6)",17121,81.7
"Warren County, New York(7)",36113,81.7
"Gloucester County, Virginia(6)",51073,81.6
"Morehouse Parish, Louisiana(7)",22067,81.6
"Baltimore City, Maryland(6)",24510,81.6
"Wetzel County, West Virginia(6)",54103,81.5
"Upshur County, West Virginia(6)",54097,81.5
"Martin County, North Carolina(6)",37117,81.5
"Dallas County, Arkansas(6)",5039,81.5
"Clinton County, Ohio(6)",39027,81.4
"Berrien County, Georgia(7)",13019,81.4
"Ashtabula County, Ohio(6)",39007,81.4
"Greene County, North Carolina(6)",37079,81.4
"Craighead County, Arkansas(6)",5031,81.4
"Adair County, Oklahoma(6)",40001,81.4
"Warren County, Georgia(7)",13301,81.4
"Jefferson County, Tennessee(6)",47089,81.4
"Osceola County, Michigan(6)",26133,81.3
"Androscoggin County, Maine(6)",23001,81.3
"Johnston County, North Carolina(6)",37101,81.3
"Wilkinson County, Mississippi(6)",28157,81.2
"Cherokee County, South Carolina(6)",45021,81.2
"Shiawassee County, Michigan(6)",26155,81.2
"Marshall County, Oklahoma(6)",40095,81.1
"Doddridge County, West Virginia(6)",54017,81.1
"Lanier County, Georgia(7)",13173,81.1
"Jackson County, Tennessee(6)",47087,81.1
"Jackson County, Indiana(6)",18071,81
"Hamblen County, Tennessee(6)",47063,80.9
"Brule County, South Dakota(6)",46015,80.9
"Kenton County, Kentucky(7)",21117,80.8
"Paulding County, Ohio(6)",39125,80.8
"Shoshone County, Idaho(7)",16079,80.8
"Greene County, New York(7)",36039,80.8
"Robertson County, Tennessee(6)",47147,80.8
"Bartow County, Georgia(7)",13015,80.7
"La Salle County, Illinois(6)",17099,80.7
"Fountain County, Indiana(6)",18045,80.7
"Okmulgee County, Oklahoma(6)",40111,80.7
"Humboldt County, Iowa(7)",19091,80.7
"Madison County, Illinois(6)",17119,80.7
"Burke County, Georgia(7)",13033,80.7
"Oscoda County, Michigan(6)",26135,80.7
"Madison County, Indiana(6)",18095,80.7
"Terrebonne Parish, Louisiana(7)",22109,80.7
"Hampshire County, West Virginia(6)",54027,80.7
"Vernon County, Missouri(6)",29217,80.7
"Conway County, Arkansas(6)",5029,80.6
"Berkeley County, West Virginia(6)",54003,80.6
"Jefferson Davis Parish, Louisiana(7)",22053,80.6
"Morgan County, Ohio(6)",39115,80.5
"Chester County, South Carolina(6)",45023,80.5
"Garvin County, Oklahoma(6)",40049,80.5
"Cleburne County, Arkansas(6)",5023,80.5
"Bradley County, Arkansas(6)",5011,80.5
"Adair County, Iowa(7)",19001,80.4
"Laurens County, Georgia(7)",13175,80.4
"Haywood County, North Carolina(6)",37087,80.3
"Union County, South Carolina(6)",45087,80.3
"Floyd County, Indiana(6)",18043,80.3
"Cedar County, Missouri(6)",29039,80.3
"Douglas County, Wisconsin(6)",55031,80.3
"Hot Spring County, Arkansas(6)",5059,80.3
"Jefferson County, Oklahoma(6)",40067,80.2
"Wood County, West Virginia(6)",54107,80.2
"Louisa County, Virginia(6)",51109,80.2
"Menard County, Illinois(6)",17129,80.2
"Sevier County, Tennessee(6)",47155,80.1
"Acadia Parish, Louisiana(7)",22001,80.1
"Lake County, Michigan(6)",26085,80.1
"Iroquois County, Illinois(6)",17075,80
"Caswell County, North Carolina(6)",37033,80
"Copiah County, Mississippi(6)",28029,80
"Lunenburg County, Virginia(6)",51111,80
"Miller County, Arkansas(6)",5091,80
"Orleans County, New York(7)",36073,79.9
"Arkansas County, Arkansas(6)",5001,79.9
"Lafayette County, Arkansas(6)",5073,79.9
"Franklin County, New York(7)",36033,79.9
"Tazewell County, Illinois(6)",17179,79.9
"Sangamon County, Illinois(6)",17167,79.9
"Hickman County, Kentucky(7)",21105,79.8
"Tate County, Mississippi(6)",28137,79.7
"Geneva County, Alabama(6)",1061,79.7
"Somerset County, Maryland(6)",24039,79.7
"Wilcox County, Georgia(7)",13315,79.7
"Giles County, Virginia(6)",51071,79.7
"Union County, Iowa(7)",19175,79.7
"Decatur County, Georgia(7)",13087,79.7
"Dent County, Missouri(6)",29065,79.6
"Dillon County, South Carolina(6)",45033,79.6
"Desha County, Arkansas(6)",5041,79.6
"Grundy County, Illinois(6)",17063,79.5
"Rush County, Indiana(6)",18139,79.5
"Rowan County, North Carolina(6)",37159,79.5
"Jefferson County, Illinois(6)",17081,79.5
"Seminole County, Georgia(7)",13253,79.5
"Pickens County, Georgia(7)",13227,79.5
"Cross County, Arkansas(6)",5037,79.4
"Shelby County, Texas(6)",48419,79.4
"DeSoto County, Mississippi(6)",28033,79.4
"Bay County, Florida(6)",12005,79.3
"Marlboro County, South Carolina(6)",45069,79.3
"Menominee County, Wisconsin(6)",55078,79.3
"Holmes County, Mississippi(6)",28051,79.3
"Nome Census Area, Alaska(6)",2180,79.3
"Wicomico County, Maryland(6)",24045,79.3
"Cass County, Texas(6)",48067,79.3
"Covington County, Alabama(6)",1039,79.2
"Webster County, Mississippi(6)",28155,79.2
"Cook County, Georgia(7)",13075,79.2
"Delaware County, Indiana(6)",18035,79.2
"Sullivan County, Tennessee(6)",47163,79.1
"Powell County, Montana(6)",30077,79.1
"Bureau County, Illinois(6)",17011,79.1
"Liberty County, Georgia(7)",13179,79.1
"Ben Hill County, Georgia(7)",13017,79.1
"Jackson County, Mississippi(6)",28059,79.1
"Grant County, Arkansas(6)",5053,79
"DeKalb County, Missouri(6)",29063,79
"Putnam County, West Virginia(6)",54079,79
"Dillingham Census Area, Alaska(6)",2070,78.9
"Chariton County, Missouri(6)",29041,78.9
"Raleigh County, West Virginia(6)",54081,78.9
"Allegany County, New York(7)",36003,78.7
"Kankakee County, Illinois(6)",17091,78.7
"Marshall County, Illinois(6)",17123,78.7
"Grant Parish, Louisiana(7)",22043,78.7
"Escambia County, Florida(6)",12033,78.7
"Wakulla County, Florida(6)",12129,78.7
"Grenada County, Mississippi(6)",28043,78.7
"Rains County, Texas(6)",48379,78.7
"Chester County, Tennessee(6)",47023,78.7
"Webster County, West Virginia(6)",54101,78.6
"Allen County, Kentucky(7)",21003,78.6
"Upson County, Georgia(7)",13293,78.6
"Liberty County, Texas(6)",48291,78.6
"Piscataquis County, Maine(6)",23021,78.5
"Crawford County, Ohio(6)",39033,78.5
"McMinn County, Tennessee(6)",47107,78.5
"Yell County, Arkansas(6)",5149,78.5
"Wayne County, Indiana(6)",18177,78.4
"Fulton County, Arkansas(6)",5049,78.4
"Laurens County, South Carolina(6)",45059,78.4
"Perry County, Indiana(6)",18123,78.4
"Avoyelles Parish, Louisiana(7)",22009,78.3
